Country/Region,SNo,ObservationDate,Province/State,Last Update,Confirmed,Deaths,Recovered
US,32,01/22/2020,Washington,1/22/2020 17:00,1.0,0.0,0.0
Mainland China,1,01/22/2020,Anhui,1/22/2020 17:00,1.0,0.0,0.0
Thailand,37,01/22/2020,,1/22/2020 17:00,2.0,0.0,0.0
Taiwan,29,01/22/2020,Taiwan,1/22/2020 17:00,1.0,0.0,0.0
Macau,21,01/22/2020,Macau,1/22/2020 17:00,1.0,0.0,0.0
Japan,36,01/22/2020,,1/22/2020 17:00,2.0,0.0,0.0
South Korea,38,01/22/2020,,1/22/2020 17:00,1.0,0.0,0.0
Singapore,77,01/23/2020,,1/23/20 17:00,1.0,0.0,0.0
Vietnam,80,01/23/2020,,1/23/20 17:00,2.0,0.0,0.0
Hong Kong,51,01/23/2020,Hong Kong,1/23/20 17:00,2.0,0.0,0.0
France,125,01/24/2020,France,1/24/20 17:00,2.0,0.0,0.0
Malaysia,169,01/25/2020,,1/25/20 17:00,3.0,0.0,0.0
Australia,167,01/25/2020,New South Wales,1/25/20 17:00,4.0,0.0,0.0
Nepal,168,01/25/2020,,1/25/20 17:00,1.0,0.0,0.0
Canada,216,01/26/2020,Ontario,1/26/20 16:00,1.0,0.0,0.0
Ivory Coast,265,01/27/2020,,1/27/20 23:59,1.0,0.0,0.0
Cambodia,263,01/27/2020,,1/27/20 23:59,1.0,0.0,0.0
Sri Lanka,264,01/27/2020,,1/27/20 23:59,1.0,0.0,0.0
Germany,319,01/28/2020,Bavaria,1/28/20 23:00,4.0,0.0,0.0
Finland,372,01/29/2020,,1/29/20 19:30,1.0,0.0,0.0
United Arab Emirates,373,01/29/2020,,1/29/20 19:30,4.0,0.0,0.0
Philippines,430,01/30/2020,,1/30/20 16:00,1.0,0.0,0.0
India,431,01/30/2020,,1/30/20 16:00,1.0,0.0,0.0
Italy,481,01/31/2020,,1/31/2020 23:59,2.0,0.0,0.0
Russia,483,01/31/2020,,1/31/2020 23:59,2.0,0.0,0.0
UK,482,01/31/2020,UK,1/31/2020 23:59,2.0,0.0,0.0
Sweden,493,01/31/2020,,1/31/2020 23:59,1.0,0.0,0.0
Spain,552,02/01/2020,,2/1/2020 2:13,1.0,0.0,0.0
Belgium,751,02/04/2020,,2020-02-04T15:43:02,1.0,0.0,0.0
Others,934,02/07/2020,Cruise Ship,2020-02-07T16:33:03,61.0,0.0,0.0
Egypt,1478,02/14/2020,,2020-02-14T23:53:02,1.0,0.0,0.0
Iran,1844,02/19/2020,,2020-02-19T23:43:02,2.0,2.0,0.0
Lebanon,2013,02/21/2020,None,2020-02-21T15:33:03,1.0,0.0,0.0
Israel,2012,02/21/2020,From Diamond Princess,2020-02-21T15:33:03,1.0,0.0,0.0
Iraq,2266,02/24/2020,,2020-02-24T23:33:02,1.0,0.0,0.0
Kuwait,2268,02/24/2020,,2020-02-24T23:33:02,1.0,0.0,0.0
Afghanistan,2259,02/24/2020,,2020-02-24T23:33:02,1.0,0.0,0.0
Oman,2252,02/24/2020,,2020-02-24T23:43:01,2.0,0.0,0.0
Bahrain,2260,02/24/2020,,2020-02-24T23:33:02,1.0,0.0,0.0
Croatia,2357,02/25/2020,,2020-02-25T18:55:32,1.0,0.0,0.0
Algeria,2353,02/25/2020,,2020-02-25T23:43:03,1.0,0.0,0.0
Switzerland,2367,02/25/2020,,2020-02-25T19:13:21,1.0,0.0,0.0
Austria,2345,02/25/2020,None,2020-02-25T18:55:32,2.0,0.0,0.0
Georgia,2460,02/26/2020,,2020-02-26T19:03:08,1.0,0.0,0.0
North Macedonia,2464,02/26/2020,,2020-02-26T19:03:08,1.0,0.0,0.0
Brazil,2456,02/26/2020,,2020-02-26T23:53:02,1.0,0.0,0.0
Norway,2465,02/26/2020,,2020-02-26T20:23:12,1.0,0.0,0.0
Pakistan,2446,02/26/2020,,2020-02-26T23:53:02,2.0,0.0,0.0
Romania,2466,02/26/2020,,2020-02-26T23:43:03,1.0,0.0,0.0
Greece,2461,02/26/2020,,2020-02-26T15:53:05,1.0,0.0,0.0
Denmark,2563,02/27/2020,Denmark,2020-02-27T16:23:03,1.0,0.0,0.0
Netherlands,2569,02/27/2020,Netherlands,2020-02-27T21:13:10,1.0,0.0,0.0
San Marino,2573,02/27/2020,,2020-02-27T21:13:10,1.0,0.0,0.0
Estonia,2565,02/27/2020,,2020-02-27T16:23:03,1.0,0.0,0.0
Mexico,2680,02/28/2020,,2020-02-28T15:03:26,1.0,0.0,0.0
Lithuania,2678,02/28/2020,,2020-02-28T16:23:03,1.0,0.0,0.0
Nigeria,2684,02/28/2020,,2020-02-28T16:23:03,1.0,0.0,0.0
New Zealand,2683,02/28/2020,,2020-02-28T16:23:03,1.0,0.0,0.0
Iceland,2677,02/28/2020,,2020-02-28T15:33:03,1.0,0.0,0.0
North Ireland,2685,02/28/2020,,2020-02-28T05:43:02,1.0,0.0,0.0
 Azerbaijan,2664,02/28/2020,,2020-02-28T15:03:26,1.0,0.0,0.0
Belarus,2667,02/28/2020,,2020-02-28T16:23:03,1.0,0.0,0.0
Ireland,2794,02/29/2020,,2020-02-29T22:33:03,1.0,0.0,0.0
Luxembourg,2796,02/29/2020,,2020-02-29T21:03:05,1.0,0.0,0.0
Monaco,2798,02/29/2020,,2020-02-29T00:33:01,1.0,0.0,0.0
Qatar,2803,02/29/2020,,2020-02-29T14:33:03,1.0,0.0,0.0
Czech Republic,2893,03/01/2020,,2020-03-01T15:53:06,3.0,0.0,0.0
Azerbaijan,2892,03/01/2020,,2020-03-01T02:43:03,3.0,0.0,0.0
Dominican Republic,2918,03/01/2020,,2020-03-01T16:03:06,1.0,0.0,0.0
Armenia,2913,03/01/2020,,2020-03-01T19:53:02,1.0,0.0,0.0
Ecuador,2885,03/01/2020,,2020-03-01T23:33:03,6.0,0.0,0.0
Latvia,3053,03/02/2020,,2020-03-02T20:13:49,1.0,0.0,0.0
Portugal,3036,03/02/2020,,2020-03-02T22:43:02,2.0,0.0,0.0
Senegal,3064,03/02/2020,,2020-03-02T20:23:16,1.0,0.0,0.0
Andorra,3043,03/02/2020,,2020-03-02T20:23:16,1.0,0.0,0.0
Saudi Arabia,3063,03/02/2020,,2020-03-02T23:53:02,1.0,0.0,0.0
Indonesia,3035,03/02/2020,,2020-03-02T18:03:04,2.0,0.0,0.0
Morocco,3058,03/02/2020,,2020-03-02T22:33:09,1.0,0.0,0.0
Chile,3199,03/03/2020,,2020-03-03T20:33:02,1.0,0.0,0.0
Jordan,3201,03/03/2020,,2020-03-03T15:33:02,1.0,0.0,0.0
Ukraine,3231,03/03/2020,,2020-03-03T15:33:02,1.0,0.0,0.0
Argentina,3192,03/03/2020,,2020-03-03T17:43:02,1.0,0.0,0.0
Gibraltar,3361,03/04/2020,,2020-03-04T13:03:13,1.0,0.0,0.0
Liechtenstein,3364,03/04/2020,,2020-03-04T01:33:07,1.0,0.0,0.0
Tunisia,3376,03/04/2020,,2020-03-04T01:33:07,1.0,0.0,0.0
Hungary,3337,03/04/2020,,2020-03-04T19:33:03,2.0,0.0,0.0
Saint Barthelemy,3332,03/04/2020,,2020-03-04T02:43:03,3.0,0.0,0.0
Poland,3373,03/04/2020,,2020-03-04T15:13:18,1.0,0.0,0.0
Faroe Islands,3360,03/04/2020,,2020-03-04T12:53:03,1.0,0.0,0.0
Bosnia and Herzegovina,3502,03/05/2020,,2020-03-05T17:13:30,2.0,0.0,0.0
Palestine,3490,03/05/2020,,2020-03-05T13:53:03,4.0,0.0,0.0
Slovenia,3507,03/05/2020,,2020-03-05T17:13:30,2.0,0.0,0.0
South Africa,3542,03/05/2020,,2020-03-05T13:53:03,1.0,0.0,0.0
Serbia,3728,03/06/2020,,2020-03-06T15:43:02,1.0,0.0,0.0
Cameroon,3712,03/06/2020,,2020-03-06T15:43:02,1.0,0.0,0.0
Colombia,3715,03/06/2020,,2020-03-06T20:43:03,1.0,0.0,0.0
Bhutan,3710,03/06/2020,,2020-03-06T15:43:02,1.0,0.0,0.0
Slovakia,3729,03/06/2020,,2020-03-06T13:03:14,1.0,0.0,0.0
Peru,3727,03/06/2020,,2020-03-06T15:43:02,1.0,0.0,0.0
Costa Rica,3716,03/06/2020,,2020-03-06T01:29:39,1.0,0.0,0.0
Vatican City,3762,03/06/2020,,2020-03-06T15:43:02,1.0,0.0,0.0
Togo,3732,03/06/2020,,2020-03-06T15:33:03,1.0,0.0,0.0
Malta,3886,03/07/2020,,2020-03-07T20:43:03,3.0,0.0,0.0
Martinique,3902,03/07/2020,,2020-03-07T03:23:05,2.0,0.0,0.0
French Guiana,3869,03/07/2020,,2020-03-07T03:23:05,5.0,0.0,0.0
Maldives,4119,03/08/2020,,2020-03-08T21:13:10,4.0,0.0,0.0
Moldova,4179,03/08/2020,,2020-03-08T05:13:07,1.0,0.0,0.0
Republic of Ireland,4067,03/08/2020,,2020-03-08T21:03:03,21.0,0.0,0.0
Paraguay,4183,03/08/2020,,2020-03-08T09:13:16,1.0,0.0,0.0
Bulgaria,4117,03/08/2020,,2020-03-08T11:13:17,4.0,0.0,0.0
Bangladesh,4127,03/08/2020,,2020-03-08T10:53:02,3.0,0.0,0.0
Albania,4403,03/09/2020,,2020-03-09T09:03:03,2.0,0.0,0.0
Brunei,4436,03/09/2020,,2020-03-09T18:33:03,1.0,0.0,0.0
Cyprus,4407,03/09/2020,,2020-03-09T18:33:03,2.0,0.0,0.0
St. Martin,4412,03/09/2020,,2020-03-09T10:43:06,2.0,0.0,0.0
Mongolia,4694,03/10/2020,,2020-03-10T06:13:43,1.0,0.0,0.0
Panama,4696,03/10/2020,,2020-03-10T06:13:43,1.0,0.0,0.0
"('St. Martin',)",4675,03/10/2020,,2020-03-10T05:33:02,2.0,0.0,0.0
Burkina Faso,4685,03/10/2020,,2020-03-10T05:33:02,1.0,0.0,0.0
occupied Palestinian territory,4593,03/10/2020,,2020-03-10T19:13:21,25.0,0.0,0.0
Holy See,4688,03/10/2020,,2020-03-10T19:13:21,1.0,0.0,0.0
Channel Islands,4686,03/10/2020,,2020-03-10T05:33:02,1.0,0.0,0.0
